x,y,z,xt,yt,zt
0.577050, 0.056009, -0.260457, , , 
0.602449, 0.059976, -0.424417, , , 
0.796269, -0.258741, -0.228989, , , 
0.473801, -0.062657, -1.298110, , , 
0.454285, 0.000169, -1.102320, , , 
1.195859, -0.951042, -0.902676, , , 
0.347732, 0.063861, -0.574481, , , 
0.637938, -0.264215, -0.814094, , , 
1.483011, -0.346786, -0.774050, , , 
0.734760, -0.147818, -0.767016, , , 
0.835545, -0.420859, -0.419201, , , 
0.422094, 0.039448, -0.576308, , , 
0.935590, -0.190400, -0.218504, , , 
0.485700, -0.257191, -0.707316, , , 
0.997242, -0.201360, -0.428199, , , 
1.100509, -0.402675, -0.958107, , , 
1.382356, -0.879894, -0.688370, , , 
0.349235, 0.000926, -1.128993, , , 
0.736685, -0.445176, -0.397408, , , 
0.925435, -0.321716, -0.224991, , , 
0.746778, -0.056390, -0.275053, , , 
0.905631, -0.250603, -0.257942, , , 
0.975533, -0.420129, -0.875868, , , 
1.558176, -0.630650, -0.900354, , , 
0.908664, -0.450590, -1.088884, , , 
0.746360, -0.246333, -0.919712, , , 
0.310142, 0.018744, -0.593002, , , 
0.997436, -0.134385, -0.242712, , , 
0.321795, 0.143544, -0.569460, , , 
1.122559, -0.783584, -0.917364, , , 
0.368264, 0.096089, -0.559804, , , 
1.237416, -0.207026, -0.657060, , , 
1.720242, -0.149603, -0.613697, , , 
0.634436, 0.049339, -0.585880, , , 
1.375036, -0.778792, -1.102984, , , 
1.801830, -0.163044, -0.625684, , , 
1.199873, -0.283390, -0.599309, , , 
1.199054, -0.558904, -0.881905, , , 
0.758642, -0.074693, -0.263158, , , 
1.203918, -0.222407, -0.544161, , , 
1.263878, -0.445751, -0.739963, , , 
0.779085, -0.146505, -0.687465, , , 
0.411741, 0.049870, -0.575278, , , 
0.696748, 0.016923, -0.525908, , , 
0.599310, 0.039705, -0.364755, , , 
1.208884, -0.889750, -0.854077, , , 
0.795431, -0.349616, -0.494115, , , 
0.585295, 0.053850, -0.402458, , , 
0.594617, -0.407755, -0.676712, , , 
1.368315, -0.802399, -0.716509, , , 
0.928101, -0.188582, -0.213743, , , 
0.416880, -0.141683, -0.600085, , , 
0.690060, -0.325944, -0.246949, , , 
